        F / Degree                Potential (Es) (F) (1)/real
----------------------------------------------------------------------
                       0                       13416.934
               2.5174825                       15254.305
                5.034965                       18221.561
               7.5524476                       18113.824
                10.06993                       18257.662
               12.587413                       13775.414
               15.104895                       11616.141
               17.622378                       13047.173
                20.13986                       15497.524
               22.657343                       15430.705
               25.174825                        15550.59
               27.692308                       11539.324
                30.20979                       9858.0439
               32.727273                        11186.15
               35.244755                       13046.715
               37.762238                       12980.525
                40.27972                       13101.119
               42.797203                       9636.0977
               45.314685                       8225.9551
               47.832168                       9535.3457
                50.34965                        10869.95
               52.867133                       10830.391
               55.384615                       10937.159
               57.902098                       7954.6699
                60.41958                       6840.3105
               62.937063                       7987.4409
               65.454545                        9015.582
               67.972028                       8988.2432
                70.48951                       9076.5195
               73.006993                       6498.0811
               75.524476                       5595.7368
               78.041958                       6590.4502
               80.559441                       7382.1797
               83.076923                       7363.3086
               85.594406                       7440.4282
               88.111888                       5420.2886
               90.629371                       5116.8438
               93.146853                       6340.5498
               95.664336                       7385.3706
               98.181818                       7363.7803
                100.6993                       7428.3887
               103.21678                       5803.0547
               105.73427                       5805.7734
               108.25175                       7846.8906
               110.76923                       9012.5713
               113.28671                       8990.3447
                115.8042                       9075.2949
               118.32168                       7065.8892
               120.83916                       7094.3325
               123.35664                       9619.4316
               125.87413                       10865.678
               128.39161                       10831.638
               130.90909                       10946.073
               133.42657                       8487.8281
               135.94406                         8522.54
               138.46154                       11736.692
               140.97902                       13015.629
                143.4965                       12992.589
               146.01399                       13132.896
               148.53147                       10022.748
               151.04895                       10147.604
               153.56643                       14177.365
               156.08392                       15458.127
                158.6014                       15443.377
               161.11888                       15609.989
               163.63636                       11705.876
               166.15385                       12097.312
               168.67133                       16875.396
               171.18881                       18152.225
               173.70629                       18138.232
               176.22378                       18133.473
               178.74126                       13686.809
               181.25874                       14014.977
               183.77622                       19877.283
               186.29371                       20826.041
               188.81119                       20831.762
               191.32867                       20471.736
               193.84615                       15479.611
               196.36364                         15853.6
               198.88112                       22498.354
                201.3986                       23101.648
               203.91608                       23090.268
               206.43357                       22226.195
               208.95105                       16768.012
               211.46853                       17488.512
               213.98601                       24913.398
                216.5035                       25058.352
               219.02098                        25062.98
               221.53846                       23578.414
               224.05594                       17913.207
               226.57343                        18867.65
               229.09091                        27071.83
               231.60839                       26747.133
               234.12587                       26766.533
               236.64336                       24735.701
               239.16084                       18958.512
               241.67832                       20113.656
                244.1958                       28464.639
               246.71329                       28131.232
               249.23077                       28161.436
               251.74825                        25743.99
               254.26573                       19941.059
               256.78322                       21261.639
                259.3007                       29577.068
               261.81818                       29250.123
               264.33566                       29270.441
               266.85315                       25907.795
               269.37063                       20471.959
               271.88811                       21914.953
               274.40559                       29444.637
               276.92308                       29245.809
               279.44056                       29346.588
               281.95804                       24886.256
               284.47552                       19947.023
               286.99301                       21748.449
               289.51049                       28324.461
               292.02797                       28108.602
               294.54545                       28230.285
               297.06294                       23161.402
               299.58042                       19231.975
                302.0979                       20761.059
               304.61538                       26913.246
               307.13287                        26719.17
               309.65035                       26865.373
               312.16783                       21736.072
               314.68531                       17992.461
                317.2028                       19742.744
               319.72028                       25191.262
               322.23776                       25027.283
               324.75524                       25174.566
               327.27273                       20233.139
               329.79021                       16692.602
               332.30769                       18606.783
               334.82517                       23192.902
               337.34266                       23087.383
               339.86014                       23211.963
               342.37762                       18193.963
                344.8951                       15337.407
               347.41259                       17167.141
               349.93007                       20924.926
               352.44755                       20813.107
               354.96503                       20924.754
               357.48252                       16056.701
                     360                       13416.934

